species,scientificName,occurrenceStatus,decimalLatitude,decimalLongitude,eventDate,year
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,1.6,19.15,2961,1908
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-6.133333,24.483333,1945,1945
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-3.416667,29.133333,18264,1950
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-2.866667,29.033333,12060,1933
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-12.75,28.566667,11841,1932
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-3.05,28.433333,NA,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,2.483333,18.883333,20455,1956
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,2.35,21.433333,13761,1937
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-2.1,30,21064,1957
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-5.583333,13.083333,13636,1937
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-5.866667,12.283333,NA,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-4.333333,20.616667,12451,1934
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,4.716667,27.7,10395,1928
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,0.05,18.25,1929,1929
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-1.183333,29.45,13636,1937
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-2.233333,28.783333,22832,1962
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-3.116667,17.066667,4931,1913
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-4.966667,23.433333,9133,1925
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-5.616667,15.283333,16934,1946
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-1.683333,29.233333,9529,1926
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-7.516667,24.183333,11780,1932
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-2.216667,28.816667,22850,1962
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-7.383333,28.066667,1908,1908
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,15.6,32.533333,23682,1964
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,12.874206,77.527243,45934.39473,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,24.819297,-107.376485,45934.33194,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,11.478408,77.797423,45929.75347,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-32.912813,-60.687939,45935.58881,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,40.864337,30.34692,45923.64163,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-8.555511,115.264051,45918.5166,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,25.740533,-100.322022,45920.60611,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,22.616592,-105.604965,45916.54369,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,13.472986,144.718472,45859.38178,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,7.076772,79.849883,44677.65345,2022
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,39.567219,21.130011,45900.55096,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,29.446794,-98.655847,45894.72675,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,7.608579,80.590421,44377.18611,2021
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,7.278102,80.213248,44138.85069,2020
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,5.927111,80.588839,45651.36984,2024
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,40.195,-1.838544,45895.48794,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.220345,-122.657333,45885.4947,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,43.812834,3.783124,45755.78789,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,43.759384,4.417397,45762.34514,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,32.836442,-96.758745,45412.33527,2024
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.191521,13.030203,45870,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.508389,6.23039,45859,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.761402,6.279497,45861,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.686668,6.351814,45861,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.50845,6.230456,45858,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-3.479802,-80.204424,45847.84894,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.7966,7.832533,45850,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.053135,7.050924,45847,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,31.643917,34.561172,45845.72437,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-10.657275,-68.490058,45842.5506,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-10.652785,-68.501576,45838.68517,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,33.451095,-111.839045,45838.55572,2025
